DataID,ClassID,MethodID,Line,InstructionIndex,EventType,ValueDesc,Attributes
0,0,0,4,-1,RESERVED,V,"null"
1,0,0,4,0,METHOD_ENTRY,V,"methodtype=constructor"
2,0,0,4,0,LABEL,I,"null"
3,0,0,4,1,LINE_NUMBER,V,"null"
4,0,0,4,3,CALL,V,"opcode=INVOKESPECIAL,owner=java/lang/Object,name=<init>,desc=()V,methodtype=constructor"
5,0,0,4,3,CALL_RETURN,V,"type=V"
6,0,0,4,3,METHOD_OBJECT_INITIALIZED,Ljava/lang/Object;,"null"
7,0,0,4,4,METHOD_NORMAL_EXIT,V,"null"
8,0,0,4,5,LABEL,I,"null"
9,0,0,4,6,CATCH_LABEL,I,"location=exceptional-exit"
10,0,0,4,6,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=6,handler=6"
11,0,0,4,6,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
12,0,1,7,-1,RESERVED,V,"null"
13,0,1,7,0,METHOD_ENTRY,V,"methodtype=static"
14,0,1,7,0,METHOD_PARAM,Ljava/lang/Object;,"index=0"
15,0,1,7,0,LABEL,I,"null"
16,0,1,7,1,LINE_NUMBER,V,"null"
17,0,1,7,2,GET_STATIC_FIELD,Ljava/lang/Object;,"owner=java/lang/System,name=out,type=Ljava/io/PrintStream;"
18,0,1,7,3,OBJECT_CONSTANT_LOAD,Ljava/lang/Object;,"type=java.lang.String"
19,0,1,7,4,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java/io/PrintStream,name=println,desc=(Ljava/lang/String;)V,methodtype=instance"
20,0,1,7,4,CALL_PARAM,Ljava/lang/Object;,"index=1,type=Ljava/lang/String;"
21,0,1,7,4,CALL_RETURN,V,"type=V"
22,0,1,9,5,LABEL,I,"null"
23,0,1,9,6,LINE_NUMBER,V,"null"
24,0,1,9,7,NEW_OBJECT,V,"type=customClass/myMath"
25,0,1,9,9,CALL,V,"opcode=INVOKESPECIAL,owner=customClass/myMath,name=<init>,desc=()V,methodtype=constructor,created=7"
26,0,1,9,9,CALL_RETURN,V,"type=V"
27,0,1,9,9,NEW_OBJECT_CREATED,Ljava/lang/Object;,"created=7"
28,0,1,9,10,LOCAL_STORE,Ljava/lang/Object;,"varindex=1,name=calculator,type=LcustomClass/myMath;"
29,0,1,11,11,LABEL,I,"null"
30,0,1,11,12,LINE_NUMBER,V,"null"
31,0,1,11,14,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Integer,name=valueOf,desc=(I)Ljava/lang/Integer;,methodtype=static"
32,0,1,11,14,CALL_PARAM,I,"index=0,type=I"
33,0,1,11,14,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Integer;"
34,0,1,11,15,LOCAL_STORE,Ljava/lang/Object;,"varindex=2,name=a,type=Ljava/lang/Integer;"
35,0,1,12,16,LABEL,I,"null"
36,0,1,12,17,LINE_NUMBER,V,"null"
37,0,1,12,19,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Integer,name=valueOf,desc=(I)Ljava/lang/Integer;,methodtype=static"
38,0,1,12,19,CALL_PARAM,I,"index=0,type=I"
39,0,1,12,19,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Integer;"
40,0,1,12,20,LOCAL_STORE,Ljava/lang/Object;,"varindex=3,name=b,type=Ljava/lang/Integer;"
41,0,1,14,21,LABEL,I,"null"
42,0,1,14,22,LINE_NUMBER,V,"null"
43,0,1,14,23,GET_STATIC_FIELD,Ljava/lang/Object;,"owner=java/lang/System,name=out,type=Ljava/io/PrintStream;"
44,0,1,14,24,LOCAL_LOAD,Ljava/lang/Object;,"varindex=1,name=calculator,type=LcustomClass/myMath;"
45,0,1,14,27,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=customClass/myMath,name=addTwoValue,desc=(II)I,methodtype=instance"
46,0,1,14,27,CALL_PARAM,I,"index=1,type=I"
47,0,1,14,27,CALL_PARAM,I,"index=2,type=I"
48,0,1,14,27,CALL_RETURN,I,"type=I"
49,0,1,14,28,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java/io/PrintStream,name=println,desc=(I)V,methodtype=instance"
50,0,1,14,28,CALL_PARAM,I,"index=1,type=I"
51,0,1,14,28,CALL_RETURN,V,"type=V"
52,0,1,15,29,LABEL,I,"null"
53,0,1,15,30,LINE_NUMBER,V,"null"
54,0,1,15,31,LOCAL_LOAD,Ljava/lang/Object;,"varindex=1,name=calculator,type=LcustomClass/myMath;"
55,0,1,15,32,LOCAL_LOAD,Ljava/lang/Object;,"varindex=2,name=a,type=Ljava/lang/Integer;"
56,0,1,15,33,LOCAL_LOAD,Ljava/lang/Object;,"varindex=3,name=b,type=Ljava/lang/Integer;"
57,0,1,15,34,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=customClass/myMath,name=computePow,desc=(Ljava/lang/Integer;Ljava/lang/Integer;)Ljava/lang/Integer;,methodtype=instance"
58,0,1,15,34,CALL_PARAM,Ljava/lang/Object;,"index=1,type=Ljava/lang/Integer;"
59,0,1,15,34,CALL_PARAM,Ljava/lang/Object;,"index=2,type=Ljava/lang/Integer;"
60,0,1,15,34,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Integer;"
61,0,1,15,35,LOCAL_STORE,Ljava/lang/Object;,"varindex=4,name=result,type=Ljava/lang/Integer;"
62,0,1,16,36,LABEL,I,"null"
63,0,1,16,37,LINE_NUMBER,V,"null"
64,0,1,16,38,GET_STATIC_FIELD,Ljava/lang/Object;,"owner=java/lang/System,name=out,type=Ljava/io/PrintStream;"
65,0,1,16,39,LOCAL_LOAD,Ljava/lang/Object;,"varindex=4,name=result,type=Ljava/lang/Integer;"
66,0,1,16,40,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java/io/PrintStream,name=println,desc=(Ljava/lang/Object;)V,methodtype=instance"
67,0,1,16,40,CALL_PARAM,Ljava/lang/Object;,"index=1,type=Ljava/lang/Object;"
68,0,1,16,40,CALL_RETURN,V,"type=V"
69,0,1,18,41,LABEL,I,"null"
70,0,1,18,42,LINE_NUMBER,V,"null"
71,0,1,18,44,LOCAL_STORE,I,"varindex=5,name=num,type=I"
72,0,1,20,45,LABEL,I,"null"
73,0,1,20,46,LINE_NUMBER,V,"null"
74,0,1,20,47,LOCAL_LOAD,Ljava/lang/Object;,"varindex=1,name=calculator,type=LcustomClass/myMath;"
75,0,1,20,48,LOCAL_LOAD,I,"varindex=5,name=num,type=I"
76,0,1,20,49,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=customClass/myMath,name=primeFactors,desc=(I)Ljava/util/List;,methodtype=instance"
77,0,1,20,49,CALL_PARAM,I,"index=1,type=I"
78,0,1,20,49,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/util/List;"
79,0,1,20,50,LOCAL_STORE,Ljava/lang/Object;,"varindex=6,name=primes,type=Ljava/util/List;"
80,0,1,22,51,LABEL,I,"null"
81,0,1,22,52,LINE_NUMBER,V,"null"
82,0,1,22,54,LOCAL_STORE,I,"varindex=7,name=idx,type=I"
83,0,1,22,55,LABEL,I,"null"
84,0,1,22,57,LOCAL_LOAD,I,"varindex=7,name=idx,type=I"
85,0,1,22,58,LOCAL_LOAD,Ljava/lang/Object;,"varindex=6,name=primes,type=Ljava/util/List;"
